ts,event,job_id,queue_len,note
2025-12-31 22:01:52,dequeue_home,job-b126a5271bb7,24,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-b126a5271bb7-3dec657927 queued_delta=16896.748398
2025-12-31 22:01:53,dequeue_global,job-f3048b85e560,23,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=23 clusterq_len=23 req_id=job-f3048b85e560-f59ea82431 queued_delta=15496.458018
2025-12-31 22:01:53,dequeue_home,job-f3048b85e560,23,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-f3048b85e560-f59ea82431 queued_delta=15496.458018
2025-12-31 22:39:16,dequeue_global,job-69749c54c528,22,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=22 clusterq_len=22 req_id=job-69749c54c528-86e333f0bf queued_delta=17248.399098
2025-12-31 22:39:16,dequeue_home,job-69749c54c528,22,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-69749c54c528-86e333f0bf queued_delta=17248.399098
2025-12-31 22:40:02,dequeue_global,job-313b5e053ff7,21,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=21 clusterq_len=21 req_id=job-313b5e053ff7-e2a2db919e queued_delta=16234.349457
2025-12-31 22:40:02,dequeue_home,job-313b5e053ff7,21,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-313b5e053ff7-e2a2db919e queued_delta=16234.349457
2025-12-31 23:15:58,dequeue_global,job-20488c92db18,20,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=20 clusterq_len=20 req_id=job-20488c92db18-ff43716fc0 queued_delta=17845.732744
2025-12-31 23:15:58,dequeue_home,job-20488c92db18,20,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-20488c92db18-ff43716fc0 queued_delta=17845.732744
2026-01-01 00:07:41,dequeue_global,job-6c2b198632ed,19,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=19 clusterq_len=19 req_id=job-6c2b198632ed-90befa2f80 queued_delta=20535.478532
2026-01-01 00:07:41,dequeue_home,job-6c2b198632ed,19,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-6c2b198632ed-90befa2f80 queued_delta=20535.478532
2026-01-01 00:59:40,dequeue_global,job-ac4b799b24be,18,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=18 clusterq_len=18 req_id=job-ac4b799b24be-9db14d6419 queued_delta=23305.525420
2026-01-01 00:59:40,dequeue_home,job-ac4b799b24be,18,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-ac4b799b24be-9db14d6419 queued_delta=23305.525420
2026-01-01 01:51:23,dequeue_global,job-8bacb84d9264,17,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=17 clusterq_len=17 req_id=job-8bacb84d9264-de97fa3021 queued_delta=26353.581129
2026-01-01 01:51:23,dequeue_home,job-8bacb84d9264,17,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-8bacb84d9264-de97fa3021 queued_delta=26353.581129
2026-01-01 03:21:09,dequeue_global,job-2198e4f3f7a6,16,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=16 clusterq_len=16 req_id=job-2198e4f3f7a6-e5baca0712 queued_delta=31705.780399
2026-01-01 03:21:09,dequeue_home,job-2198e4f3f7a6,16,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-2198e4f3f7a6-e5baca0712 queued_delta=31705.780399
2026-01-01 03:44:22,dequeue_global,job-c36df8fd1a13,15,cluster=clusterA g=1 home_qcid=clusterA prev_kind=HOME home_len=15 clusterq_len=15 req_id=job-c36df8fd1a13-880ddc308b queued_delta=32596.433085
2026-01-01 03:44:22,dequeue_home,job-c36df8fd1a13,15,home_qcid=clusterA run_cluster=clusterA g=1 req_id=job-c36df8fd1a13-880ddc308b queued_delta=32596.433085
