ts,cluster,queue_len,total_gpus,used_gpus,free_gpus,util,price_per_gpu_hour,speed_factor,energy_pressure,cost_norm,speed_norm
2025-12-22 20:56:22,clusterA,0,4,0,4,0.0,1.0,1.0,0.010111,1.0,1.0
2025-12-22 20:56:22,clusterB,0,4,0,4,0.0,1.0,1.0,0.067325,1.0,1.0
2025-12-22 20:56:23,clusterA,0,4,0,4,0.0,1.0,1.0,0.010111,1.0,1.0
2025-12-22 20:56:23,clusterB,0,4,0,4,0.0,1.0,1.0,0.067429,1.0,1.0
2025-12-22 20:56:24,clusterA,0,4,0,4,0.0,1.0,1.0,0.010111,1.0,1.0
2025-12-22 20:56:24,clusterB,0,4,0,4,0.0,1.0,1.0,0.067494,1.0,1.0
2025-12-22 20:56:25,clusterA,0,4,0,4,0.0,1.0,1.0,0.010111,1.0,1.0
2025-12-22 20:56:25,clusterB,0,4,0,4,0.0,1.0,1.0,0.067494,1.0,1.0
2025-12-22 20:56:26,clusterA,0,4,0,4,0.0,1.0,1.0,0.010111,1.0,1.0
2025-12-22 20:56:26,clusterB,0,4,0,4,0.0,1.0,1.0,0.067407,1.0,1.0
2025-12-22 20:56:27,clusterA,0,4,0,4,0.0,1.0,1.0,0.010097,1.0,1.0
2025-12-22 20:56:27,clusterB,0,4,0,4,0.0,1.0,1.0,0.067407,1.0,1.0
2025-12-22 20:56:28,clusterA,0,4,0,4,0.0,1.0,1.0,0.010097,1.0,1.0
2025-12-22 20:56:28,clusterB,0,4,0,4,0.0,1.0,1.0,0.067285,1.0,1.0
2025-12-22 20:56:29,clusterA,0,4,0,4,0.0,1.0,1.0,0.010097,1.0,1.0
2025-12-22 20:56:29,clusterB,0,4,0,4,0.0,1.0,1.0,0.06739400000000001,1.0,1.0
2025-12-22 20:56:30,clusterA,0,4,0,4,0.0,1.0,1.0,0.010097,1.0,1.0
2025-12-22 20:56:30,clusterB,0,4,0,4,0.0,1.0,1.0,0.06739400000000001,1.0,1.0
2025-12-22 20:56:31,clusterA,0,4,0,4,0.0,1.0,1.0,0.010097,1.0,1.0
2025-12-22 20:56:31,clusterB,0,4,0,4,0.0,1.0,1.0,0.0674,1.0,1.0
2025-12-22 20:56:32,clusterA,0,4,0,4,0.0,1.0,1.0,0.009984999999999999,1.0,1.0
2025-12-22 20:56:32,clusterB,0,4,0,4,0.0,1.0,1.0,0.0674,1.0,1.0
2025-12-22 20:56:33,clusterA,0,4,0,4,0.0,1.0,1.0,0.009984999999999999,1.0,1.0
2025-12-22 20:56:33,clusterB,0,4,0,4,0.0,1.0,1.0,0.067426,1.0,1.0
2025-12-22 20:56:34,clusterA,0,4,0,4,0.0,1.0,1.0,0.009984999999999999,1.0,1.0
2025-12-22 20:56:34,clusterB,0,4,0,4,0.0,1.0,1.0,0.067356,1.0,1.0
2025-12-22 20:56:35,clusterA,0,4,0,4,0.0,1.0,1.0,0.009984999999999999,1.0,1.0
2025-12-22 20:56:35,clusterB,0,4,0,4,0.0,1.0,1.0,0.067356,1.0,1.0
2025-12-22 20:56:36,clusterA,0,4,0,4,0.0,1.0,1.0,0.009984999999999999,1.0,1.0
2025-12-22 20:56:36,clusterB,0,4,0,4,0.0,1.0,1.0,0.067274,1.0,1.0
2025-12-22 20:56:37,clusterA,0,4,0,4,0.0,1.0,1.0,0.010199999999999999,1.0,1.0
2025-12-22 20:56:37,clusterB,0,4,0,4,0.0,1.0,1.0,0.067274,1.0,1.0
2025-12-22 20:56:38,clusterA,0,4,0,4,0.0,1.0,1.0,0.010199999999999999,1.0,1.0
2025-12-22 20:56:38,clusterB,0,4,0,4,0.0,1.0,1.0,0.067118,1.0,1.0
2025-12-22 20:56:39,clusterA,0,4,0,4,0.0,1.0,1.0,0.010199999999999999,1.0,1.0
2025-12-22 20:56:39,clusterB,0,4,0,4,0.0,1.0,1.0,0.06707300000000001,1.0,1.0
2025-12-22 20:56:40,clusterA,0,4,0,4,0.0,1.0,1.0,0.010199999999999999,1.0,1.0
2025-12-22 20:56:40,clusterB,0,4,0,4,0.0,1.0,1.0,0.06707300000000001,1.0,1.0
2025-12-22 20:56:41,clusterA,0,4,0,4,0.0,1.0,1.0,0.010199999999999999,1.0,1.0
2025-12-22 20:56:41,clusterB,0,4,0,4,0.0,1.0,1.0,0.067346,1.0,1.0
2025-12-22 20:56:42,clusterA,0,4,0,4,0.0,1.0,1.0,0.010228999999999999,1.0,1.0
2025-12-22 20:56:42,clusterB,0,4,0,4,0.0,1.0,1.0,0.067346,1.0,1.0
2025-12-22 20:56:43,clusterA,0,4,0,4,0.0,1.0,1.0,0.010228999999999999,1.0,1.0
2025-12-22 20:56:43,clusterB,0,4,0,4,0.0,1.0,1.0,0.06744599999999999,1.0,1.0
2025-12-22 20:56:44,clusterA,0,4,0,4,0.0,1.0,1.0,0.010228999999999999,1.0,1.0
2025-12-22 20:56:44,clusterB,0,4,0,4,0.0,1.0,1.0,0.067519,1.0,1.0
2025-12-22 20:56:45,clusterA,0,4,0,4,0.0,1.0,1.0,0.010228999999999999,1.0,1.0
2025-12-22 20:56:45,clusterB,0,4,0,4,0.0,1.0,1.0,0.067519,1.0,1.0
2025-12-22 20:56:46,clusterA,0,4,0,4,0.0,1.0,1.0,0.010228999999999999,1.0,1.0
2025-12-22 20:56:46,clusterB,0,4,0,4,0.0,1.0,1.0,0.067208,1.0,1.0
2025-12-22 20:56:47,clusterA,0,4,0,4,0.0,1.0,1.0,0.010098000000000001,1.0,1.0
2025-12-22 20:56:47,clusterB,0,4,0,4,0.0,1.0,1.0,0.067208,1.0,1.0
2025-12-22 20:56:48,clusterA,0,4,0,4,0.0,1.0,1.0,0.010098000000000001,1.0,1.0
2025-12-22 20:56:48,clusterB,0,4,0,4,0.0,1.0,1.0,0.067184,1.0,1.0
2025-12-22 20:56:49,clusterA,0,4,0,4,0.0,1.0,1.0,0.010098000000000001,1.0,1.0
2025-12-22 20:56:49,clusterB,0,4,0,4,0.0,1.0,1.0,0.06700700000000001,1.0,1.0
