job_id,cluster,model,dataset,world_size,submitted_ts,started_ts,end_ts,queued_ms,jct_ms,status
job-797579d38df2,clusterB,DenseNet-121,TinyImageNet,1,1763037733.332772,1763037734.3003209,1763049444.0412443,967,11709740,completed
job-f583e9514998,clusterB,DeepSpeech2,ARCTIC,4,1763039895.9638646,1763049449.252935,,9553289,,running
job-f8016e80ca5a,clusterA,DistilBERT,SST-2,2,1763039902.5650613,1763049449.2848191,,9546719,,running
job-53b2da951429,clusterA,DeepSpeech2,ARCTIC,1,1763039911.7837553,1763049449.3049607,,9537521,,running
job-53b2da951429,clusterA,DeepSpeech2,ARCTIC,1,1763039911.7837553,1763049449.3049607,1763049455.7773757,9537521,6472,completed
job-f583e9514998,clusterB,DeepSpeech2,ARCTIC,4,1763039895.9638646,1763049449.252935,1763049762.4601958,9553289,313207,completed
job-2b524dbd492a,clusterB,DistilBERT,SST-2,2,1763040504.5506017,1763049767.567493,,9263016,,running
job-df9d4aebcec1,clusterB,ResNet-50,CIFAR-10,2,1763041786.093049,1763049767.624015,,7981530,,running
job-ea2ae14a6420,clusterA,DistilBERT,SST-2,1,1763041934.2197187,1763049767.645553,,7833425,,running
job-df9d4aebcec1,clusterB,ResNet-50,CIFAR-10,2,1763041786.093049,1763049767.624015,1763049772.3652766,7981530,4741,completed
job-52f79935f920,clusterB,ResNet-18,CIFAR-100,1,1763042455.7770464,1763049783.4106915,,7327633,,running
job-058f30b3afda,clusterB,DistilBERT,SST-2,1,1763042517.0195541,1763049783.4316633,,7266412,,running
job-058f30b3afda,clusterB,DistilBERT,SST-2,1,1763042517.0195541,1763049783.4316633,1763049786.0631335,7266412,2631,completed
job-52f79935f920,clusterB,ResNet-18,CIFAR-100,1,1763042455.7770464,1763049783.4106915,1763050826.3091836,7327633,1042898,completed
job-ea2ae14a6420,clusterA,DistilBERT,SST-2,1,1763041934.2197187,1763049767.645553,1763051805.03705,7833425,2037391,completed
job-f8016e80ca5a,clusterA,DistilBERT,SST-2,2,1763039902.5650613,1763049449.2848191,1763052996.4576957,9546719,3547172,completed
job-84fcc25d204a,clusterA,DenseNet-121,TinyImageNet,1,1763038815.9755728,1763040969.4003427,1763054393.75942,2153424,13424359,completed
job-2b524dbd492a,clusterB,DistilBERT,SST-2,2,1763040504.5506017,1763049767.567493,1763055176.8419433,9263016,5409274,completed
